Store,holiday,workday,Type,Size,sales
1,16657476.56,205745332.29,0,151315,222402808.85
2,20792669.0,254589771.98,0,202307,275382440.98
3,4378110.5,53208624.57,1,37392,57586735.07
4,22431026.24,277112927.14,0,205863,299543953.38
5,3595016.07,41880672.83,1,34875,45475688.9
6,16809079.27,206947051.37,0,202505,223756130.64
7,6724002.65,74874272.49,1,70713,81598275.14
8,9753308.6,120197872.53,0,155078,129951181.13
9,5889508.21,71899710.78,1,125833,77789218.99
10,21137559.49,250480154.4,1,126512,271617713.89
11,14483944.85,179478841.95,0,207499,193962786.8
12,11381404.2,132905825.95,1,112238,144287230.15
13,21130438.06,265387265.74,0,219622,286517703.8
14,21205829.98,267794081.36,0,200898,288999911.34
15,7064060.18,82069623.74,1,123737,89133683.92
16,5667336.46,68585088.94,1,57197,74252425.4
17,9797969.71,117984169.12,1,93188,127782138.83
18,11694221.61,143420512.6,1,120653,155114734.21
19,15770467.34,190864394.76,0,203819,206634862.1
20,22490350.81,278907441.65,0,203742,301397792.46
21,8264913.09,99852965.83,1,140167,108117878.92
22,10848746.56,136226902.01,1,119557,147075648.57
23,14625422.94,184125194.91,1,114533,198750617.85
24,14750982.51,179265038.77,0,203819,194016021.28
25,7396768.42,93664410.75,1,128107,101061179.17
26,10720468.49,132695925.3,0,152513,143416393.79
27,18922992.78,234932924.1,0,204184,253855916.88
28,14782446.05,174481234.53,0,206302,189263680.58
29,6069578.89,71071975.42,1,93638,77141554.31
30,4368593.07,58348292.05,2,42988,62716885.12
31,15000260.3,184613645.2,0,203750,199613905.5
32,12037840.83,154781405.33,0,203007,166819246.16
33,2625945.19,34534276.77,0,39690,37160221.96
34,10419780.89,127829982.11,0,158114,138249763.0
35,10743484.57,120777187.51,1,103681,131520672.08
36,3676406.3,49735808.67,0,39910,53412214.97
37,5075250.5,69127489.82,2,39910,74202740.32
38,3815098.78,51344527.64,2,39690,55159626.42
39,15511274.8,191934267.67,0,184109,207445542.47
40,10080340.75,127789969.04,0,155083,137870309.79
41,13349478.56,167992456.33,0,196321,181341934.89
42,5676941.58,73888810.85,2,39690,79565752.43
43,6359462.78,84205972.63,2,41062,90565435.41
44,2960356.01,40332731.83,2,39910,43293087.84
45,8362937.13,104032404.29,1,118221,112395341.42
